epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2487.19,0.84722,0.61482,1.28413,0.95296,0.8745,0.94188,0.67197,0.8047,0.55752,1.02905,0.000239766,0.000239766,0.000239766
70,2527.28,0.85041,0.60711,1.27192,0.91663,0.87013,0.93271,0.66032,0.80448,0.53561,1.02081,0.000226769,0.000226769,0.000226769
71,2566.97,0.85198,0.63524,1.27883,0.94369,0.84404,0.93513,0.657,0.83725,0.58031,1.01008,0.000214046,0.000214046,0.000214046
72,2607.23,0.82994,0.61372,1.23331,0.95894,0.84003,0.93085,0.65153,0.84871,0.50883,1.03766,0.000201611,0.000201611,0.000201611
73,2646.56,0.83135,0.6183,1.26396,0.93975,0.85612,0.94506,0.66783,0.80492,0.51853,1.00486,0.000189475,0.000189475,0.000189475
74,2686.95,0.81468,0.61289,1.25747,0.889,0.89209,0.93932,0.67095,0.82602,0.52597,1.01505,0.000177651,0.000177651,0.000177651
75,2726.72,0.77925,0.55275,1.21743,0.92432,0.84892,0.94439,0.67164,0.83582,0.51167,1.0291,0.000166149,0.000166149,0.000166149
76,2766.49,0.81175,0.61512,1.23911,0.96296,0.84173,0.94278,0.67347,0.8222,0.52623,1.01829,0.000154982,0.000154982,0.000154982
77,2806.4,0.77997,0.54718,1.21961,0.95094,0.85612,0.93958,0.67217,0.80888,0.52294,1.02199,0.000144161,0.000144161,0.000144161
78,2845.17,0.83871,0.60175,1.26143,0.93212,0.8705,0.9457,0.68741,0.82245,0.50706,1.00914,0.000133695,0.000133695,0.000133695
79,2885.07,0.79918,0.58151,1.23196,0.98165,0.83453,0.94693,0.69111,0.79912,0.48234,1.0009,0.000123596,0.000123596,0.000123596
80,2924.29,0.80029,0.59174,1.23912,0.94942,0.8705,0.9399,0.67226,0.85169,0.49975,1.03842,0.000113873,0.000113873,0.000113873
81,2964.18,0.77946,0.55273,1.2137,0.9911,0.80141,0.93654,0.67256,0.82126,0.50634,1.02791,0.000104537,0.000104537,0.000104537
82,3003.9,0.7657,0.55997,1.22032,0.96847,0.83453,0.94478,0.69418,0.79976,0.54064,1.00653,9.55951e-05,9.55951e-05,9.55951e-05
83,3043.2,0.77127,0.52823,1.2202,0.97151,0.82734,0.94482,0.70072,0.80541,0.55916,1.01497,8.70577e-05,8.70577e-05,8.70577e-05
