epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,3205.23,1.14775,0.5824,1.49439,0.90572,0.85266,0.92785,0.47014,1.72786,0.88411,2.81653,0.000533742,0.000533742,0.000533742
65,3317.97,1.13674,0.58106,1.49482,0.85524,0.87972,0.92164,0.4872,1.67227,0.89298,2.72585,0.000526371,0.000526371,0.000526371
66,3430.83,1.15321,0.56612,1.49114,0.89809,0.8426,0.92273,0.49084,1.67164,0.84786,2.72328,0.000518953,0.000518953,0.000518953
67,3543.46,1.14148,0.57343,1.48635,0.90301,0.84641,0.92388,0.48411,1.68464,0.87485,2.75701,0.00051149,0.00051149,0.00051149
68,3655.5,1.13035,0.56383,1.4715,0.86813,0.8874,0.92291,0.49998,1.64939,0.85792,2.71905,0.000503987,0.000503987,0.000503987
69,3767.41,1.11862,0.56562,1.4762,0.89805,0.88245,0.92948,0.50006,1.67812,0.84639,2.76743,0.000496444,0.000496444,0.000496444
70,3879.12,1.12235,0.54861,1.45733,0.86199,0.88871,0.9273,0.49896,1.69795,0.84064,2.81031,0.000488866,0.000488866,0.000488866
71,3993.94,1.12763,0.56231,1.46531,0.8871,0.86991,0.93045,0.50039,1.6669,0.81171,2.77236,0.000481256,0.000481256,0.000481256
72,4106.28,1.1119,0.55576,1.4658,0.92107,0.8558,0.93618,0.50043,1.67019,0.81748,2.74213,0.000473615,0.000473615,0.000473615
73,4219.46,1.11614,0.5655,1.45885,0.90271,0.83542,0.91694,0.48931,1.66631,0.86276,2.76239,0.000465948,0.000465948,0.000465948
74,4332.79,1.10852,0.55558,1.45939,0.88457,0.87461,0.92055,0.49673,1.65257,0.82513,2.77084,0.000458257,0.000458257,0.000458257
75,4447.69,1.11195,0.5706,1.45463,0.88156,0.88667,0.91572,0.49602,1.66637,0.82313,2.7774,0.000450545,0.000450545,0.000450545
76,4561.92,1.09593,0.54963,1.42791,0.89035,0.85893,0.92831,0.50108,1.66266,0.82478,2.79163,0.000442815,0.000442815,0.000442815
77,4676.99,1.08698,0.54652,1.423,0.89145,0.89185,0.92846,0.49454,1.6636,0.83329,2.79944,0.00043507,0.00043507,0.00043507
